video number, frame number, cell number of x, cell number of y, source, blockw, blockh, srcx, srcy, dstx, dsty
10R.mp4 ,4 ,3 ,2 ,-1 ,16 ,16 ,88 ,56, 88 ,56
10R.mp4 ,4 ,3 ,2 ,1 ,16 ,16 ,88 ,56, 88 ,56
10R.mp4 ,4 ,3 ,2 ,-1 ,16 ,16 ,104 ,56, 104 ,56
10R.mp4 ,4 ,3 ,2 ,1 ,16 ,16 ,104 ,56, 104 ,56
10R.mp4 ,4 ,4 ,2 ,-1 ,16 ,16 ,136 ,56, 136 ,56
10R.mp4 ,4 ,4 ,2 ,1 ,16 ,16 ,136 ,56, 136 ,56
10R.mp4 ,4 ,4 ,2 ,-1 ,16 ,16 ,152 ,56, 152 ,56
10R.mp4 ,4 ,4 ,2 ,1 ,16 ,16 ,152 ,56, 152 ,56
10R.mp4 ,4 ,1 ,3 ,-1 ,16 ,16 ,8 ,72, 8 ,72
10R.mp4 ,4 ,1 ,3 ,1 ,16 ,16 ,8 ,72, 8 ,72
10R.mp4 ,4 ,1 ,3 ,-1 ,16 ,16 ,24 ,72, 24 ,72
10R.mp4 ,4 ,1 ,3 ,1 ,16 ,16 ,24 ,72, 24 ,72
10R.mp4 ,4 ,1 ,3 ,-1 ,16 ,16 ,40 ,72, 40 ,72
10R.mp4 ,4 ,1 ,3 ,1 ,16 ,16 ,40 ,72, 40 ,72
10R.mp4 ,4 ,2 ,3 ,-1 ,16 ,16 ,72 ,72, 72 ,72
10R.mp4 ,4 ,2 ,3 ,1 ,16 ,16 ,72 ,72, 72 ,72
10R.mp4 ,4 ,3 ,3 ,-1 ,16 ,16 ,88 ,72, 88 ,72
10R.mp4 ,4 ,3 ,3 ,1 ,16 ,16 ,88 ,72, 88 ,72
10R.mp4 ,4 ,3 ,3 ,-1 ,16 ,16 ,104 ,72, 104 ,72
10R.mp4 ,4 ,3 ,3 ,1 ,16 ,16 ,104 ,72, 104 ,72
10R.mp4 ,4 ,3 ,3 ,-1 ,16 ,16 ,120 ,72, 120 ,72
10R.mp4 ,4 ,3 ,3 ,1 ,16 ,16 ,120 ,72, 120 ,72
10R.mp4 ,4 ,4 ,3 ,-1 ,16 ,16 ,136 ,72, 136 ,72
10R.mp4 ,4 ,4 ,3 ,1 ,16 ,16 ,136 ,72, 136 ,72
10R.mp4 ,4 ,4 ,3 ,-1 ,16 ,16 ,152 ,72, 152 ,72
10R.mp4 ,4 ,4 ,3 ,1 ,16 ,16 ,152 ,72, 152 ,72
10R.mp4 ,4 ,1 ,3 ,-1 ,16 ,16 ,8 ,88, 8 ,88
10R.mp4 ,4 ,1 ,3 ,1 ,16 ,16 ,8 ,88, 8 ,88
10R.mp4 ,4 ,1 ,3 ,-1 ,16 ,16 ,24 ,88, 24 ,88
10R.mp4 ,4 ,1 ,3 ,1 ,16 ,16 ,24 ,88, 24 ,88
10R.mp4 ,4 ,1 ,3 ,-1 ,16 ,16 ,40 ,88, 40 ,88
10R.mp4 ,4 ,1 ,3 ,1 ,16 ,16 ,40 ,88, 40 ,88
10R.mp4 ,4 ,2 ,3 ,-1 ,16 ,16 ,56 ,88, 56 ,88
10R.mp4 ,4 ,2 ,3 ,1 ,16 ,16 ,56 ,88, 56 ,88
10R.mp4 ,4 ,2 ,3 ,-1 ,16 ,16 ,72 ,88, 72 ,88
10R.mp4 ,4 ,2 ,3 ,1 ,16 ,16 ,72 ,88, 72 ,88
10R.mp4 ,4 ,3 ,3 ,-1 ,16 ,16 ,88 ,88, 88 ,88
10R.mp4 ,4 ,3 ,3 ,1 ,16 ,16 ,88 ,88, 88 ,88
10R.mp4 ,4 ,3 ,3 ,-1 ,16 ,16 ,104 ,88, 104 ,88
10R.mp4 ,4 ,3 ,3 ,1 ,16 ,16 ,104 ,88, 104 ,88
10R.mp4 ,4 ,3 ,3 ,-1 ,16 ,16 ,120 ,88, 120 ,88
10R.mp4 ,4 ,3 ,3 ,1 ,16 ,16 ,120 ,88, 120 ,88
10R.mp4 ,4 ,4 ,3 ,-1 ,16 ,16 ,136 ,88, 136 ,88
10R.mp4 ,4 ,4 ,3 ,1 ,16 ,16 ,136 ,88, 136 ,88
10R.mp4 ,4 ,4 ,3 ,-1 ,16 ,16 ,152 ,88, 152 ,88
10R.mp4 ,4 ,4 ,3 ,1 ,16 ,16 ,152 ,88, 152 ,88
10R.mp4 ,4 ,1 ,4 ,-1 ,16 ,16 ,8 ,104, 8 ,104
10R.mp4 ,4 ,1 ,4 ,1 ,16 ,16 ,8 ,104, 8 ,104
10R.mp4 ,4 ,1 ,4 ,-1 ,16 ,16 ,24 ,104, 24 ,104
10R.mp4 ,4 ,1 ,4 ,1 ,16 ,16 ,24 ,104, 24 ,104
10R.mp4 ,4 ,1 ,4 ,-1 ,16 ,16 ,40 ,104, 40 ,104
10R.mp4 ,4 ,1 ,4 ,1 ,16 ,16 ,40 ,104, 40 ,104
10R.mp4 ,4 ,2 ,4 ,-1 ,16 ,16 ,56 ,104, 56 ,104
10R.mp4 ,4 ,2 ,4 ,1 ,16 ,16 ,56 ,104, 56 ,104
10R.mp4 ,4 ,2 ,4 ,-1 ,16 ,16 ,72 ,104, 72 ,104
10R.mp4 ,4 ,2 ,4 ,1 ,16 ,16 ,72 ,104, 72 ,104
10R.mp4 ,4 ,3 ,4 ,-1 ,16 ,16 ,88 ,104, 88 ,104
10R.mp4 ,4 ,3 ,4 ,1 ,16 ,16 ,88 ,104, 88 ,104
10R.mp4 ,4 ,3 ,4 ,-1 ,16 ,16 ,104 ,104, 104 ,104
10R.mp4 ,4 ,3 ,4 ,1 ,16 ,16 ,104 ,104, 104 ,104
10R.mp4 ,4 ,3 ,4 ,-1 ,16 ,16 ,120 ,104, 120 ,104
10R.mp4 ,4 ,3 ,4 ,1 ,16 ,16 ,120 ,104, 120 ,104
10R.mp4 ,4 ,4 ,4 ,-1 ,16 ,16 ,136 ,104, 136 ,104
10R.mp4 ,4 ,4 ,4 ,1 ,16 ,16 ,136 ,104, 136 ,104
10R.mp4 ,4 ,4 ,4 ,-1 ,16 ,16 ,152 ,104, 152 ,104
10R.mp4 ,4 ,4 ,4 ,1 ,16 ,16 ,152 ,104, 152 ,104
10R.mp4 ,4 ,1 ,4 ,-1 ,16 ,16 ,8 ,120, 8 ,120
10R.mp4 ,4 ,1 ,4 ,-1 ,16 ,16 ,24 ,120, 24 ,120
10R.mp4 ,4 ,1 ,4 ,1 ,16 ,16 ,24 ,120, 24 ,120
10R.mp4 ,4 ,1 ,4 ,-1 ,16 ,16 ,40 ,120, 40 ,120
10R.mp4 ,4 ,1 ,4 ,1 ,16 ,16 ,40 ,120, 40 ,120
10R.mp4 ,4 ,2 ,4 ,-1 ,16 ,8 ,56 ,116, 56 ,116
10R.mp4 ,4 ,2 ,5 ,-1 ,16 ,8 ,56 ,124, 56 ,124
10R.mp4 ,4 ,2 ,4 ,1 ,16 ,8 ,56 ,116, 56 ,116
10R.mp4 ,4 ,2 ,5 ,1 ,16 ,8 ,56 ,124, 56 ,124
10R.mp4 ,4 ,2 ,4 ,-1 ,16 ,16 ,72 ,120, 72 ,120
10R.mp4 ,4 ,2 ,4 ,1 ,16 ,16 ,72 ,120, 72 ,120
10R.mp4 ,4 ,3 ,4 ,-1 ,16 ,16 ,88 ,120, 88 ,120
10R.mp4 ,4 ,3 ,4 ,1 ,16 ,16 ,88 ,120, 88 ,120
10R.mp4 ,4 ,3 ,4 ,-1 ,16 ,16 ,104 ,120, 104 ,120
10R.mp4 ,4 ,3 ,4 ,1 ,16 ,16 ,104 ,120, 104 ,120
10R.mp4 ,4 ,3 ,4 ,-1 ,16 ,16 ,120 ,120, 120 ,120
10R.mp4 ,4 ,3 ,4 ,1 ,16 ,16 ,120 ,120, 120 ,120
10R.mp4 ,4 ,4 ,4 ,-1 ,16 ,16 ,136 ,120, 136 ,120
10R.mp4 ,4 ,4 ,4 ,-1 ,16 ,16 ,152 ,120, 152 ,120
10R.mp4 ,4 ,4 ,4 ,1 ,16 ,16 ,152 ,120, 152 ,120
10R.mp4 ,5 ,1 ,1 ,-1 ,16 ,16 ,8 ,8, 8 ,8
10R.mp4 ,5 ,1 ,1 ,-1 ,16 ,16 ,24 ,8, 24 ,8
10R.mp4 ,5 ,1 ,1 ,-1 ,16 ,16 ,40 ,8, 40 ,8
10R.mp4 ,5 ,2 ,1 ,-1 ,16 ,16 ,56 ,8, 56 ,8
10R.mp4 ,5 ,2 ,1 ,-1 ,16 ,16 ,72 ,8, 72 ,8
10R.mp4 ,5 ,3 ,1 ,-1 ,16 ,16 ,88 ,8, 88 ,8
10R.mp4 ,5 ,3 ,1 ,-1 ,16 ,16 ,104 ,8, 104 ,8
10R.mp4 ,5 ,3 ,1 ,-1 ,16 ,16 ,120 ,8, 120 ,8
10R.mp4 ,5 ,4 ,1 ,-1 ,16 ,16 ,136 ,8, 136 ,8
10R.mp4 ,5 ,4 ,1 ,-1 ,16 ,16 ,152 ,8, 152 ,8
10R.mp4 ,5 ,1 ,1 ,-1 ,16 ,16 ,8 ,24, 8 ,24
10R.mp4 ,5 ,1 ,1 ,-1 ,16 ,16 ,24 ,24, 24 ,24
10R.mp4 ,5 ,1 ,1 ,-1 ,16 ,16 ,40 ,24, 40 ,24
10R.mp4 ,5 ,2 ,1 ,-1 ,16 ,16 ,56 ,24, 56 ,24
10R.mp4 ,5 ,2 ,1 ,-1 ,16 ,16 ,72 ,24, 72 ,24
10R.mp4 ,5 ,3 ,1 ,-1 ,16 ,16 ,88 ,24, 88 ,24
10R.mp4 ,5 ,3 ,1 ,-1 ,16 ,16 ,104 ,24, 104 ,24
10R.mp4 ,5 ,3 ,1 ,-1 ,16 ,16 ,120 ,24, 120 ,24
10R.mp4 ,5 ,4 ,1 ,-1 ,16 ,16 ,136 ,24, 136 ,24
10R.mp4 ,5 ,4 ,1 ,-1 ,16 ,16 ,152 ,24, 152 ,24
10R.mp4 ,5 ,1 ,2 ,-1 ,16 ,16 ,8 ,40, 8 ,40
10R.mp4 ,5 ,1 ,2 ,-1 ,16 ,16 ,24 ,40, 24 ,40
10R.mp4 ,5 ,1 ,2 ,-1 ,8 ,16 ,36 ,40, 36 ,40
10R.mp4 ,5 ,2 ,2 ,-1 ,8 ,16 ,39 ,40, 44 ,40
10R.mp4 ,5 ,2 ,2 ,-1 ,8 ,8 ,68 ,36, 68 ,36
10R.mp4 ,5 ,2 ,2 ,-1 ,8 ,8 ,76 ,36, 76 ,36
10R.mp4 ,5 ,2 ,2 ,-1 ,8 ,8 ,68 ,44, 68 ,44
10R.mp4 ,5 ,2 ,2 ,-1 ,8 ,8 ,76 ,44, 76 ,44
10R.mp4 ,5 ,3 ,2 ,-1 ,8 ,8 ,84 ,36, 84 ,36
10R.mp4 ,5 ,3 ,2 ,-1 ,8 ,8 ,92 ,36, 92 ,36
10R.mp4 ,5 ,3 ,2 ,-1 ,8 ,8 ,84 ,44, 84 ,44
10R.mp4 ,5 ,3 ,2 ,-1 ,8 ,8 ,92 ,44, 92 ,44
10R.mp4 ,5 ,3 ,2 ,-1 ,8 ,8 ,99 ,37, 100 ,36
10R.mp4 ,5 ,3 ,2 ,-1 ,8 ,8 ,106 ,38, 108 ,36
10R.mp4 ,5 ,3 ,2 ,-1 ,8 ,8 ,96 ,44, 100 ,44
10R.mp4 ,5 ,3 ,2 ,-1 ,8 ,8 ,101 ,45, 108 ,44
10R.mp4 ,5 ,3 ,2 ,-1 ,8 ,8 ,116 ,36, 116 ,36
10R.mp4 ,5 ,4 ,2 ,-1 ,8 ,8 ,124 ,36, 124 ,36
10R.mp4 ,5 ,3 ,2 ,-1 ,8 ,8 ,123 ,44, 116 ,44
10R.mp4 ,5 ,4 ,2 ,-1 ,8 ,8 ,124 ,44, 124 ,44
10R.mp4 ,5 ,4 ,2 ,-1 ,16 ,16 ,136 ,40, 136 ,40
10R.mp4 ,5 ,4 ,2 ,-1 ,16 ,16 ,152 ,40, 152 ,40
10R.mp4 ,5 ,1 ,2 ,-1 ,16 ,16 ,8 ,56, 8 ,56
10R.mp4 ,5 ,1 ,2 ,-1 ,16 ,16 ,24 ,56, 24 ,56
10R.mp4 ,5 ,1 ,2 ,-1 ,16 ,16 ,40 ,56, 40 ,56
10R.mp4 ,5 ,2 ,2 ,-1 ,16 ,16 ,56 ,56, 56 ,56
10R.mp4 ,5 ,2 ,2 ,-1 ,16 ,16 ,72 ,56, 72 ,56
10R.mp4 ,5 ,3 ,2 ,-1 ,16 ,16 ,88 ,56, 88 ,56
10R.mp4 ,5 ,3 ,2 ,-1 ,16 ,16 ,104 ,56, 104 ,56
10R.mp4 ,5 ,4 ,2 ,-1 ,16 ,16 ,136 ,56, 136 ,56
10R.mp4 ,5 ,4 ,2 ,-1 ,16 ,16 ,152 ,56, 152 ,56
10R.mp4 ,5 ,1 ,3 ,-1 ,16 ,16 ,8 ,72, 8 ,72
10R.mp4 ,5 ,1 ,3 ,-1 ,16 ,16 ,24 ,72, 24 ,72
10R.mp4 ,5 ,1 ,3 ,-1 ,16 ,16 ,40 ,72, 40 ,72
10R.mp4 ,5 ,2 ,3 ,-1 ,16 ,16 ,56 ,72, 56 ,72
10R.mp4 ,5 ,2 ,3 ,-1 ,16 ,16 ,72 ,72, 72 ,72
10R.mp4 ,5 ,3 ,3 ,-1 ,16 ,16 ,88 ,72, 88 ,72
10R.mp4 ,5 ,3 ,3 ,-1 ,16 ,16 ,104 ,72, 104 ,72
10R.mp4 ,5 ,3 ,3 ,-1 ,16 ,16 ,120 ,72, 120 ,72
10R.mp4 ,5 ,4 ,3 ,-1 ,16 ,16 ,136 ,72, 136 ,72
10R.mp4 ,5 ,4 ,3 ,-1 ,16 ,16 ,152 ,72, 152 ,72
10R.mp4 ,5 ,1 ,3 ,-1 ,16 ,16 ,8 ,88, 8 ,88
10R.mp4 ,5 ,1 ,3 ,-1 ,16 ,16 ,24 ,88, 24 ,88
10R.mp4 ,5 ,1 ,3 ,-1 ,16 ,16 ,40 ,88, 40 ,88
10R.mp4 ,5 ,2 ,3 ,-1 ,16 ,16 ,56 ,88, 56 ,88
10R.mp4 ,5 ,2 ,3 ,-1 ,16 ,16 ,72 ,88, 72 ,88
10R.mp4 ,5 ,3 ,3 ,-1 ,16 ,16 ,88 ,88, 88 ,88
10R.mp4 ,5 ,3 ,3 ,-1 ,16 ,16 ,104 ,88, 104 ,88
10R.mp4 ,5 ,3 ,3 ,-1 ,16 ,16 ,120 ,88, 120 ,88
10R.mp4 ,5 ,4 ,3 ,-1 ,16 ,16 ,136 ,88, 136 ,88
10R.mp4 ,5 ,4 ,3 ,-1 ,16 ,16 ,152 ,88, 152 ,88
10R.mp4 ,5 ,1 ,4 ,-1 ,16 ,16 ,8 ,104, 8 ,104
10R.mp4 ,5 ,1 ,4 ,-1 ,16 ,16 ,24 ,104, 24 ,104
10R.mp4 ,5 ,1 ,4 ,-1 ,16 ,16 ,40 ,104, 40 ,104
10R.mp4 ,5 ,2 ,4 ,-1 ,16 ,16 ,56 ,104, 56 ,104
10R.mp4 ,5 ,2 ,4 ,-1 ,16 ,16 ,72 ,104, 72 ,104
10R.mp4 ,5 ,3 ,4 ,-1 ,16 ,16 ,88 ,104, 88 ,104
10R.mp4 ,5 ,3 ,4 ,-1 ,16 ,16 ,104 ,104, 104 ,104
10R.mp4 ,5 ,3 ,4 ,-1 ,16 ,16 ,120 ,104, 120 ,104
10R.mp4 ,5 ,4 ,4 ,-1 ,16 ,16 ,136 ,104, 136 ,104
10R.mp4 ,5 ,4 ,4 ,-1 ,16 ,16 ,152 ,104, 152 ,104
10R.mp4 ,5 ,1 ,4 ,-1 ,16 ,16 ,8 ,120, 8 ,120
10R.mp4 ,5 ,1 ,4 ,-1 ,16 ,16 ,24 ,119, 24 ,120
10R.mp4 ,5 ,1 ,4 ,-1 ,8 ,8 ,36 ,116, 36 ,116
10R.mp4 ,5 ,2 ,4 ,-1 ,8 ,8 ,44 ,116, 44 ,116
10R.mp4 ,5 ,1 ,5 ,-1 ,8 ,8 ,36 ,124, 36 ,124
10R.mp4 ,5 ,2 ,5 ,-1 ,8 ,8 ,44 ,124, 44 ,124
10R.mp4 ,5 ,2 ,4 ,-1 ,16 ,16 ,56 ,120, 56 ,120
10R.mp4 ,5 ,2 ,4 ,-1 ,16 ,16 ,72 ,120, 72 ,120
10R.mp4 ,5 ,3 ,4 ,-1 ,16 ,16 ,88 ,120, 88 ,120
10R.mp4 ,5 ,3 ,4 ,-1 ,16 ,16 ,104 ,120, 104 ,120
10R.mp4 ,5 ,3 ,4 ,-1 ,16 ,16 ,120 ,120, 120 ,120
10R.mp4 ,5 ,4 ,4 ,-1 ,16 ,16 ,136 ,120, 136 ,120
10R.mp4 ,5 ,4 ,4 ,-1 ,8 ,16 ,148 ,120, 148 ,120
10R.mp4 ,5 ,4 ,4 ,-1 ,8 ,16 ,158 ,120, 156 ,120
10R.mp4 ,6 ,1 ,1 ,-1 ,16 ,16 ,8 ,8, 8 ,8
10R.mp4 ,6 ,1 ,1 ,1 ,16 ,16 ,8 ,8, 8 ,8
10R.mp4 ,6 ,1 ,1 ,-1 ,16 ,16 ,24 ,8, 24 ,8
10R.mp4 ,6 ,1 ,1 ,1 ,16 ,16 ,24 ,8, 24 ,8
10R.mp4 ,6 ,1 ,1 ,-1 ,16 ,16 ,40 ,8, 40 ,8
10R.mp4 ,6 ,1 ,1 ,1 ,16 ,16 ,40 ,8, 40 ,8
10R.mp4 ,6 ,2 ,1 ,-1 ,16 ,16 ,56 ,8, 56 ,8
10R.mp4 ,6 ,2 ,1 ,1 ,16 ,16 ,56 ,8, 56 ,8
10R.mp4 ,6 ,2 ,1 ,-1 ,16 ,16 ,72 ,8, 72 ,8
10R.mp4 ,6 ,2 ,1 ,1 ,16 ,16 ,72 ,8, 72 ,8
10R.mp4 ,6 ,3 ,1 ,-1 ,16 ,16 ,88 ,8, 88 ,8
10R.mp4 ,6 ,3 ,1 ,1 ,16 ,16 ,88 ,8, 88 ,8
10R.mp4 ,6 ,3 ,1 ,-1 ,16 ,16 ,104 ,8, 104 ,8
10R.mp4 ,6 ,3 ,1 ,1 ,16 ,16 ,104 ,8, 104 ,8
10R.mp4 ,6 ,3 ,1 ,-1 ,16 ,16 ,120 ,8, 120 ,8
10R.mp4 ,6 ,3 ,1 ,1 ,16 ,16 ,120 ,8, 120 ,8
10R.mp4 ,6 ,4 ,1 ,-1 ,16 ,16 ,136 ,8, 136 ,8
10R.mp4 ,6 ,4 ,1 ,1 ,16 ,16 ,136 ,8, 136 ,8
10R.mp4 ,6 ,4 ,1 ,-1 ,16 ,16 ,152 ,8, 152 ,8
10R.mp4 ,6 ,4 ,1 ,1 ,16 ,16 ,152 ,8, 152 ,8
10R.mp4 ,6 ,1 ,1 ,-1 ,16 ,16 ,8 ,24, 8 ,24
10R.mp4 ,6 ,1 ,1 ,1 ,16 ,16 ,8 ,24, 8 ,24
10R.mp4 ,6 ,1 ,1 ,-1 ,16 ,16 ,24 ,24, 24 ,24
10R.mp4 ,6 ,1 ,1 ,1 ,16 ,16 ,24 ,24, 24 ,24
10R.mp4 ,6 ,1 ,1 ,-1 ,16 ,16 ,40 ,24, 40 ,24
10R.mp4 ,6 ,1 ,1 ,1 ,16 ,16 ,40 ,24, 40 ,24
10R.mp4 ,6 ,2 ,1 ,-1 ,16 ,16 ,56 ,24, 56 ,24
10R.mp4 ,6 ,2 ,1 ,1 ,16 ,16 ,56 ,24, 56 ,24
10R.mp4 ,6 ,2 ,1 ,-1 ,16 ,16 ,72 ,24, 72 ,24
10R.mp4 ,6 ,2 ,1 ,1 ,16 ,16 ,72 ,24, 72 ,24
10R.mp4 ,6 ,3 ,1 ,-1 ,16 ,16 ,88 ,24, 88 ,24
10R.mp4 ,6 ,3 ,1 ,1 ,16 ,16 ,88 ,24, 88 ,24
10R.mp4 ,6 ,3 ,1 ,-1 ,16 ,16 ,104 ,24, 104 ,24
10R.mp4 ,6 ,3 ,1 ,1 ,16 ,16 ,104 ,24, 104 ,24
10R.mp4 ,6 ,3 ,1 ,-1 ,16 ,16 ,120 ,24, 120 ,24
10R.mp4 ,6 ,3 ,1 ,1 ,16 ,16 ,120 ,24, 120 ,24
10R.mp4 ,6 ,4 ,1 ,-1 ,16 ,16 ,136 ,24, 136 ,24
10R.mp4 ,6 ,4 ,1 ,1 ,16 ,16 ,136 ,24, 136 ,24
10R.mp4 ,6 ,4 ,1 ,-1 ,16 ,16 ,152 ,24, 152 ,24
10R.mp4 ,6 ,4 ,1 ,1 ,16 ,16 ,152 ,24, 152 ,24
10R.mp4 ,6 ,1 ,2 ,-1 ,16 ,16 ,8 ,40, 8 ,40
10R.mp4 ,6 ,1 ,2 ,1 ,16 ,16 ,8 ,40, 8 ,40
10R.mp4 ,6 ,1 ,2 ,-1 ,16 ,16 ,24 ,40, 24 ,40
10R.mp4 ,6 ,1 ,2 ,1 ,16 ,16 ,24 ,40, 24 ,40
10R.mp4 ,6 ,1 ,2 ,-1 ,8 ,8 ,36 ,36, 36 ,36
10R.mp4 ,6 ,2 ,2 ,-1 ,8 ,8 ,44 ,39, 44 ,36
10R.mp4 ,6 ,1 ,2 ,-1 ,8 ,8 ,36 ,44, 36 ,44
10R.mp4 ,6 ,2 ,2 ,-1 ,8 ,8 ,44 ,44, 44 ,44
10R.mp4 ,6 ,1 ,2 ,1 ,8 ,8 ,36 ,36, 36 ,36
10R.mp4 ,6 ,2 ,2 ,1 ,8 ,8 ,44 ,32, 44 ,36
10R.mp4 ,6 ,1 ,2 ,1 ,8 ,8 ,36 ,44, 36 ,44
10R.mp4 ,6 ,2 ,2 ,1 ,8 ,8 ,44 ,44, 44 ,44
10R.mp4 ,6 ,2 ,2 ,-1 ,8 ,16 ,52 ,42, 52 ,40
10R.mp4 ,6 ,2 ,2 ,-1 ,8 ,16 ,59 ,42, 60 ,40
10R.mp4 ,6 ,2 ,2 ,1 ,8 ,16 ,52 ,40, 52 ,40
10R.mp4 ,6 ,2 ,2 ,1 ,8 ,16 ,62 ,39, 60 ,40
10R.mp4 ,6 ,2 ,2 ,-1 ,16 ,16 ,72 ,40, 72 ,40
10R.mp4 ,6 ,2 ,2 ,1 ,16 ,16 ,72 ,40, 72 ,40
10R.mp4 ,6 ,3 ,2 ,-1 ,16 ,16 ,88 ,40, 88 ,40
10R.mp4 ,6 ,3 ,2 ,1 ,16 ,16 ,88 ,40, 88 ,40
10R.mp4 ,6 ,3 ,2 ,-1 ,16 ,16 ,104 ,41, 104 ,40
10R.mp4 ,6 ,3 ,2 ,1 ,16 ,16 ,104 ,39, 104 ,40
10R.mp4 ,6 ,3 ,2 ,-1 ,8 ,8 ,116 ,39, 116 ,36
10R.mp4 ,6 ,4 ,2 ,-1 ,8 ,8 ,122 ,40, 124 ,36
10R.mp4 ,6 ,3 ,2 ,-1 ,8 ,8 ,116 ,46, 116 ,44
10R.mp4 ,6 ,4 ,2 ,-1 ,8 ,8 ,124 ,44, 124 ,44
10R.mp4 ,6 ,3 ,2 ,1 ,8 ,8 ,116 ,36, 116 ,36
10R.mp4 ,6 ,4 ,2 ,1 ,8 ,8 ,124 ,36, 124 ,36
10R.mp4 ,6 ,3 ,2 ,1 ,8 ,8 ,116 ,41, 116 ,44
10R.mp4 ,6 ,4 ,2 ,1 ,8 ,8 ,124 ,44, 124 ,44
10R.mp4 ,6 ,4 ,2 ,-1 ,16 ,16 ,136 ,40, 136 ,40
10R.mp4 ,6 ,4 ,2 ,1 ,16 ,16 ,136 ,40, 136 ,40
10R.mp4 ,6 ,4 ,2 ,-1 ,16 ,16 ,152 ,40, 152 ,40
10R.mp4 ,6 ,4 ,2 ,1 ,16 ,16 ,152 ,40, 152 ,40
10R.mp4 ,6 ,1 ,2 ,1 ,16 ,16 ,8 ,56, 8 ,56
10R.mp4 ,6 ,1 ,2 ,1 ,16 ,16 ,24 ,56, 24 ,56
10R.mp4 ,6 ,1 ,2 ,-1 ,16 ,16 ,40 ,56, 40 ,56
10R.mp4 ,6 ,1 ,2 ,1 ,16 ,16 ,40 ,56, 40 ,56
10R.mp4 ,6 ,2 ,2 ,-1 ,16 ,16 ,56 ,56, 56 ,56
10R.mp4 ,6 ,2 ,2 ,1 ,16 ,16 ,56 ,56, 56 ,56
10R.mp4 ,6 ,2 ,2 ,-1 ,16 ,16 ,72 ,56, 72 ,56
10R.mp4 ,6 ,2 ,2 ,1 ,16 ,16 ,72 ,56, 72 ,56
10R.mp4 ,6 ,3 ,2 ,-1 ,16 ,16 ,88 ,56, 88 ,56
10R.mp4 ,6 ,3 ,2 ,1 ,16 ,16 ,88 ,56, 88 ,56
10R.mp4 ,6 ,3 ,2 ,-1 ,16 ,16 ,104 ,56, 104 ,56
10R.mp4 ,6 ,3 ,2 ,1 ,16 ,16 ,104 ,56, 104 ,56
10R.mp4 ,6 ,3 ,2 ,1 ,16 ,16 ,120 ,56, 120 ,56
10R.mp4 ,6 ,4 ,2 ,1 ,16 ,16 ,136 ,56, 136 ,56
10R.mp4 ,6 ,4 ,2 ,1 ,16 ,16 ,152 ,56, 152 ,56
10R.mp4 ,6 ,1 ,3 ,-1 ,16 ,16 ,8 ,72, 8 ,72
10R.mp4 ,6 ,1 ,3 ,1 ,16 ,16 ,8 ,72, 8 ,72
10R.mp4 ,6 ,1 ,3 ,1 ,16 ,16 ,24 ,72, 24 ,72
10R.mp4 ,6 ,1 ,3 ,-1 ,16 ,16 ,40 ,72, 40 ,72
10R.mp4 ,6 ,1 ,3 ,1 ,16 ,16 ,40 ,72, 40 ,72
10R.mp4 ,6 ,2 ,3 ,-1 ,16 ,16 ,56 ,72, 56 ,72
10R.mp4 ,6 ,2 ,3 ,1 ,16 ,16 ,56 ,72, 56 ,72
10R.mp4 ,6 ,2 ,3 ,1 ,16 ,16 ,72 ,72, 72 ,72
10R.mp4 ,6 ,3 ,3 ,1 ,16 ,16 ,88 ,72, 88 ,72
10R.mp4 ,6 ,3 ,3 ,1 ,16 ,16 ,104 ,72, 104 ,72
10R.mp4 ,6 ,3 ,3 ,1 ,16 ,16 ,120 ,72, 120 ,72
10R.mp4 ,6 ,4 ,3 ,1 ,16 ,16 ,136 ,72, 136 ,72
10R.mp4 ,6 ,4 ,3 ,1 ,16 ,16 ,152 ,72, 152 ,72
10R.mp4 ,6 ,1 ,3 ,1 ,16 ,16 ,8 ,88, 8 ,88
10R.mp4 ,6 ,1 ,3 ,1 ,16 ,16 ,24 ,88, 24 ,88
10R.mp4 ,6 ,1 ,3 ,-1 ,16 ,16 ,40 ,88, 40 ,88
10R.mp4 ,6 ,1 ,3 ,1 ,16 ,16 ,40 ,88, 40 ,88
10R.mp4 ,6 ,2 ,3 ,1 ,16 ,16 ,56 ,88, 56 ,88
10R.mp4 ,6 ,2 ,3 ,1 ,16 ,16 ,72 ,88, 72 ,88
10R.mp4 ,6 ,3 ,3 ,1 ,16 ,16 ,88 ,88, 88 ,88
10R.mp4 ,6 ,3 ,3 ,-1 ,16 ,16 ,104 ,88, 104 ,88
10R.mp4 ,6 ,3 ,3 ,1 ,16 ,16 ,104 ,88, 104 ,88
10R.mp4 ,6 ,3 ,3 ,1 ,16 ,16 ,120 ,88, 120 ,88
10R.mp4 ,6 ,4 ,3 ,1 ,16 ,16 ,136 ,88, 136 ,88
10R.mp4 ,6 ,4 ,3 ,1 ,16 ,16 ,152 ,88, 152 ,88
10R.mp4 ,6 ,1 ,4 ,1 ,16 ,16 ,8 ,104, 8 ,104
10R.mp4 ,6 ,1 ,4 ,1 ,16 ,16 ,24 ,104, 24 ,104
10R.mp4 ,6 ,1 ,4 ,-1 ,16 ,16 ,40 ,104, 40 ,104
10R.mp4 ,6 ,1 ,4 ,1 ,16 ,16 ,40 ,104, 40 ,104
